Description,Rank 3 Months to 30 Jun 2026,Rank YoY Change,Median Salary,Median Salary YoY Change,Live Jobs,Historical Absolute & Relative Jobs Vacancies_absolute,Historical Absolute & Relative Jobs Vacancies_relative,period,date_scraped,source_url,page,Rank 6 Months to 30 Jun 2026
Azure,5,Up 1 place+1,"£62,500",+4.16%,"3,186","6,836",12.41%,3mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
AI,8,Up 1 place+1,"£70,000",+7.69%,"4,562","4,530",8.23%,3mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Software Engineering,15,Up 4 places+4,"£72,500",-3.33%,"1,978","4,083",7.41%,3mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
AWS,18,Down -5 places-5,"£72,500",-1.02%,"2,387","3,608",6.55%,3mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
SQL,19,Down -5 places-5,"£56,500",-1.73%,"2,090","3,568",6.48%,3mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Python,20,Down -9 places-9,"£70,000",-3.44%,"2,966","3,544",6.44%,3mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Cybersecurity,21,Up 16 places+16,"£60,000",+4.34%,"2,075","3,518",6.39%,3mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Java,54,Down -33 places-33,"£70,000",-3.44%,917,"1,469",2.67%,3mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=2,2,
JavaScript,66,Down -30 places-30,"£57,500",-11.53%,907,"1,288",2.34%,3mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=2,2,
Data Science,157,Up 14 places+14,"£70,000",-3.44%,974,672,1.22%,3mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=4,4,
Databricks,217,Down -146 places-146,"£85,000",+13.33%,435,481,0.87%,3mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=5,5,
Snowflake,394,Down -89 places-89,"£80,000",-,214,196,0.36%,3mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=11,11,
R,499,Down -172 places-172,"£65,000",+4.83%,223,85,0.15%,3mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=19,19,
Azure,,Up 3 places+3,"£65,000",+8.33%,"3,186","12,585",13.08%,6mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,4
AI,,Up 4 places+4,"£70,000",+5.62%,"4,562","7,733",8.04%,6mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,10
Software Engineering,,Up 7 places+7,"£72,500",-3.33%,"1,978","6,898",7.17%,6mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,12
Python,,Down -3 places-3,"£70,000",-3.44%,"2,966","6,799",7.06%,6mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,13
Cybersecurity,,Up 20 places+20,"£60,000",+4.34%,"2,075","6,628",6.89%,6mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,17
SQL,,Down -8 places-8,"£57,500",-4.16%,"2,090","6,297",6.54%,6mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,19
AWS,,Down -8 places-8,"£72,500",-,"2,387","6,277",6.52%,6mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,20
Java,,Down -26 places-26,"£70,000",-6.66%,917,"2,628",2.73%,6mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=2,2,54
JavaScript,,Down -36 places-36,"£57,500",-13.14%,907,"2,318",2.41%,6mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=2,2,67
Data Science,,Down -10 places-10,"£70,000",-3.44%,974,"1,281",1.33%,6mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=4,4,149
Databricks,,Down -104 places-104,"£85,000",+11.47%,435,917,0.95%,6mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=5,5,208
Snowflake,,Down -70 places-70,"£83,750",-1.47%,214,431,0.45%,6mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=9,9,385
R,,Down -152 places-152,"£50,175",-19.07%,223,223,0.23%,6mo,2026-07-01,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=15,15,532
