Description,Rank 3 Months to 23 Aug 2026,Rank YoY Change,Median Salary,Median Salary YoY Change,Live Jobs,Historical Absolute & Relative Jobs Vacancies_absolute,Historical Absolute & Relative Jobs Vacancies_relative,period,date_scraped,source_url,page,Rank 6 Months to 23 Aug 2026
Azure,6,Up 1 place+1,"£62,500",+4.16%,"2,868","5,459",9.78%,3mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
AI,9,Up 3 places+3,"£74,830",+6.90%,"3,129","5,053",9.05%,3mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Software Engineering,13,Up 11 places+11,"£72,500",-3.33%,"1,424","4,505",8.07%,3mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
AWS,18,Down -2 places-2,"£71,991",-4.01%,"1,820","3,770",6.75%,3mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
SQL,22,Down -9 places-9,"£57,500",-,"1,903","3,233",5.79%,3mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Python,23,Down -9 places-9,"£72,500",-,"2,294","3,194",5.72%,3mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Cybersecurity,26,Up 9 places+9,"£60,000",+1.69%,"1,902","3,131",5.61%,3mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Java,62,Down -17 places-17,"£70,000",-11.39%,679,"1,461",2.62%,3mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=2,2,
JavaScript,64,Down -17 places-17,"£57,500",-11.53%,801,"1,397",2.50%,3mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=2,2,
Data Science,123,Up 4 places+4,"£75,000",+1.69%,713,873,1.56%,3mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=3,3,
Databricks,222,Down -33 places-33,"£85,000",+21.42%,307,482,0.86%,3mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=5,5,
